definition_id,criteria_name,value,unit,value_si
def_chi_2006_180,min_height,400.0,m,400.0
def_cos_unknown_181,min_canopy_cover,70.0,,70.0
def_cos_2014_182,min_area,1.0,ha,1.0
def_cos_2014_182,min_canopy_cover,30.0,,30.0
def_cos_2014_182,min_height,5.0,meter,5.0
def_cro_unknown_185,min_area,0.1,hectare,0.1
def_cro_unknown_185,min_canopy_cover,20.0,,20.0
def_cro_unknown_185,min_height,2.0,meter,2.0
def_cro_unknown_186,min_area,0.1,ha,0.1
def_cro_unknown_186,min_canopy_cover,20.0,,20.0
def_cro_unknown_186,min_height,1.0,m,1.0
def_unk_2002_187,min_area,1.0,ha,1.0
def_unk_2002_187,min_canopy_cover,10.0,,10.0
def_unk_2006_188,min_area,1.0,ha,1.0
def_unk_2006_188,min_canopy_cover,10.0,,10.0
def_unk_2006_188,min_height,5.0,m,5.0
def_cze_2004_189,min_area,0.01,ha,0.01
def_cze_2004_189,min_height,4.0,m,4.0
def_cze_2004_189,min_width,4.0,m,4.0
def_cze_unknown_190,min_canopy_cover,20.0,,20.0
def_den_unknown_191,min_area,3.0,ha,3.0
def_den_unknown_191,min_height,6.0,m,6.0
def_ecu_2013_192,min_area,1.0,hectare,1.0
def_ecu_2013_192,min_canopy_cover,30.0,,30.0
def_ecu_2013_192,min_height,5.0,meter,5.0
def_est_1998_193,min_area,0.5,ha,0.5
def_est_1998_193,min_height,1.3,m,1.3
def_est_1998_194,min_area,5.0,ha,5.0
def_est_1998_194,min_height,3.0,m,3.0
def_est_2010_195,min_area,0.5,ha,0.5
def_est_2010_195,min_canopy_cover,10.0,,10.0
def_est_2010_195,min_height,5.0,m,5.0
def_unk_1994_199,min_height,2.0,m,2.0
def_unk_2015_201,min_area,0.5,ha,0.5
def_unk_2015_201,min_canopy_cover,20.0,,20.0
def_unk_2015_201,min_height,2.0,m,2.0
def_unk_2017_202,min_area,0.5,ha,0.5
def_unk_2017_202,min_canopy_cover,20.0,,20.0
def_unk_2017_202,min_height,20.0,m,20.0
def_unk_2017_202,min_width,20.0,m,20.0
def_unk_unknown_203,min_area,0.05,hectare,0.05
def_unk_unknown_203,min_canopy_cover,205.0,,205.0
def_unk_unknown_203,min_height,2.0,m,2.0
def_unk_unknown_204,min_area,0.05,hectare,0.05
def_unk_unknown_204,min_height,2.0,m,2.0
def_fij_1992_205,min_area,4.0,ha,4.0
def_fij_1992_205,min_canopy_cover,25.0,,25.0
def_fra_1997_207,min_area,5.0,acre,2.02343
def_fra_1997_207,min_canopy_cover,10.0,,10.0
def_fra_1997_207,min_height,15.0,m,15.0
def_fra_1997_207,min_width,15.0,m,15.0
def_fra_2005_208,min_area,0.05,ha,0.05
def_fra_2005_208,min_canopy_cover,10.0,,10.0
def_fra_2005_208,min_height,7.0,m,7.0
def_fra_2005_208,min_width,25.0,m,25.0
def_fra_2010_209,min_area,0.5,ha,0.5
def_fra_2010_209,min_canopy_cover,10.0,,10.0
def_fra_2010_209,min_height,20.0,m,20.0
def_fra_2010_209,min_width,20.0,m,20.0
def_gab_2001_210,min_canopy_cover,20.0,,20.0
def_gab_2001_210,min_height,83.0,m,83.0
def_unk_unknown_211,min_canopy_cover,50.0,,50.0
def_unk_unknown_211,min_height,9.0,m,9.0
def_unk_unknown_212,min_canopy_cover,50.0,,50.0
def_geo_1999_213,min_area,0.1,ha,0.1
def_geo_2010_214,min_area,0.5,ha,0.5
def_geo_2010_214,min_canopy_cover,10.0,,10.0
def_geo_2010_214,min_height,20.0,m,20.0
def_geo_2010_214,min_width,20.0,m,20.0
def_gre_2002_215,min_area,0.5,ha,0.5
def_gre_2002_215,min_height,30.0,m,30.0
def_gre_2002_215,min_width,30.0,m,30.0
def_gre_2003_216,min_canopy_cover,15.0,,15.0
def_gre_unknown_217,min_canopy_cover,20.0,,20.0
def_gre_unknown_217,min_height,7.0,m,7.0
def_unk_2009_218,min_canopy_cover,10.0,,10.0
def_hun_2006_219,min_canopy_cover,30.0,,30.0
def_hun_2006_220,min_area,1000.0,ha,1000.0
def_hun_2006_220,min_canopy_cover,50.0,,50.0
def_hun_unknown_221,min_area,15.0,ha,15.0
def_hun_unknown_222,min_canopy_cover,15.0,,15.0
def_unk_2010_223,min_area,0.5,ha,0.5
def_unk_2010_223,min_canopy_cover,10.0,,10.0
def_unk_2010_223,min_height,2.0,m,2.0
def_unk_2010_223,min_width,20.0,m,20.0
def_unk_2011_224,min_canopy_cover,10.0,,10.0
def_unk_2011_224,min_height,2.0,m,2.0
def_ind_2017_225,min_canopy_cover,10.0,,10.0
def_ind_2023_226,min_area,1.0,ha,1.0
def_ind_2023_226,min_canopy_cover,10.0,,10.0
def_ind_2023_226,min_height,23.5,m,23.5
def_ind_unknown_228,min_area,1.0,ha,1.0
def_ind_unknown_228,min_canopy_cover,30.0,,30.0
def_ind_unknown_228,min_height,5.0,m,5.0
def_ind_unknown_229,min_area,0.25,ha,0.25
def_ind_unknown_229,min_canopy_cover,30.0,,30.0
def_ind_unknown_229,min_height,5.0,m,5.0
def_ind_2004_230,min_area,0.25,hectare,0.25
def_ind_2004_230,min_canopy_cover,30.0,,30.0
def_ind_2004_230,min_height,5.0,meter,5.0
def_ind_2015_231,min_area,6.25,ha,6.25
def_unk_2002_232,min_area,0.5,ha,0.5
def_unk_2002_232,min_canopy_cover,50.0,,50.0
def_unk_2002_232,min_height,40.0,m,40.0
def_unk_2002_232,min_width,40.0,m,40.0
def_unk_2010_233,min_area,0.5,ha,0.5
def_unk_2010_233,min_canopy_cover,10.0,,10.0
def_unk_2010_233,min_height,2.0,m,2.0
def_unk_2010_233,min_width,20.0,m,20.0
def_ita_2007_235,min_canopy_cover,20.0,,20.0
def_ita_2007_235,min_height,2000.0,m,2000.0
def_ita_2007_235,min_width,20.0,m,20.0
def_jam_1992_236,min_area,4.0,ha,4.0
def_jam_1992_236,min_canopy_cover,75.0,,75.0
def_jam_1992_236,min_height,7.0,m,7.0
def_jap_unknown_239,min_canopy_cover,30.0,,30.0
def_ken_2005_242,min_area,10.0,ha,10.0
def_kyr_2000_244,min_canopy_cover,20.0,,20.0
def_kyr_2000_244,min_height,25.0,metre,25.0
def_kyr_2000_244,min_width,25.0,metre,25.0
def_unk_2011_245,min_canopy_cover,20.0,,20.0
def_unk_unknown_246,min_area,0.5,ha,0.5
def_unk_unknown_246,min_height,5.0,m,5.0
def_unk_2015_247,min_area,0.5,ha,0.5
def_unk_2015_247,min_canopy_cover,20.0,,20.0
def_unk_2015_247,min_height,5.0,meter,5.0
def_lat_2001_248,min_canopy_cover,20.0,,20.0
def_lat_unknown_249,min_canopy_cover,20.0,,20.0
def_lat_unknown_249,min_height,7.0,m,7.0
def_lit_unknown_250,min_area,0.1,ha,0.1
def_lit_unknown_250,min_height,5.0,m,5.0
def_mal_2016_253,min_area,0.5,ha,0.5
def_mal_2016_253,min_canopy_cover,30.0,,30.0
def_mal_2016_253,min_height,5.0,m,5.0
def_mex_2005_254,min_area,1.0,ha,1.0
def_mex_2005_254,min_canopy_cover,2016.0,,2016.0
def_mex_2005_254,min_height,2.0,m,2.0
def_mon_2000_255,min_area,0.05,ha,0.05
def_unk_2011_256,min_area,0.5,ha,0.5
def_unk_2011_256,min_canopy_cover,15.0,,15.0
def_unk_2011_256,min_height,5.0,m,5.0
def_nep_1999_257,min_canopy_cover,10.0,,10.0
def_new_unknown_259,min_area,1.0,hectare,1.0
def_new_unknown_259,min_height,5.0,metre,5.0
def_new_unknown_259,min_width,30.0,metre,30.0
def_nor_2010_261,min_area,0.5,ha,0.5
def_nor_2010_261,min_height,5.0,m,5.0
def_per_2010_263,min_area,0.5,ha,0.5
def_per_2010_263,min_height,5.0,m,5.0
def_per_2014_264,min_area,0.09,hectare,0.09
def_per_2015_265,min_area,0.5,hectare,0.5
def_per_2015_265,min_canopy_cover,10.0,,10.0
def_per_2015_265,min_height,20.0,m,20.0
def_per_2015_265,min_width,20.0,m,20.0
def_per_2015_266,min_area,0.5,hectare,0.5
def_per_2015_266,min_canopy_cover,30.0,,30.0
def_per_2015_266,min_height,5.0,m,5.0
def_phi_2000_267,min_area,0.5,hectare,0.5
def_phi_2000_267,min_canopy_cover,10.0,,10.0
def_phi_2000_267,min_height,5.0,meter,5.0
def_phi_2000_267,min_width,20.0,meter,20.0
def_pol_1991_269,min_area,0.1,ha,0.1
def_por_1994_270,min_canopy_cover,15.0,,15.0
def_por_1994_270,min_height,5.0,m,5.0
def_rom_1996_271,min_area,0.25,ha,0.25
def_rom_unknown_272,min_area,0.25,ha,0.25
def_unk_2006_273,min_area,0.5,ha,0.5
def_unk_2006_273,min_canopy_cover,20.0,,20.0
def_unk_2006_273,min_height,7.0,m,7.0
def_unk_2010_274,min_area,0.5,ha,0.5
def_unk_2010_274,min_canopy_cover,10.0,,10.0
def_unk_2010_274,min_height,5.0,meter,5.0
def_unk_2011_275,min_area,0.5,ha,0.5
def_unk_2011_275,min_canopy_cover,10.0,,10.0
def_unk_2011_275,min_height,20.0,m,20.0
def_unk_2011_275,min_width,20.0,m,20.0
def_unk_2009_276,min_area,0.3,ha,0.3
def_unk_2009_276,min_canopy_cover,20.0,,20.0
def_unk_2009_276,min_height,5.0,m,5.0
def_slo_1994_277,min_height,0.05,m,0.05
def_slo_unknown_279,min_area,0.05,ha,0.05
def_sou_2002_281,min_canopy_cover,75.0,,75.0
def_sou_unknown_283,min_height,20.0,m,20.0
def_spa_2008_284,min_canopy_cover,10.0,,10.0
def_unk_2010_285,min_area,0.05,hectare,0.05
def_unk_2010_285,min_canopy_cover,20.0,,20.0
def_unk_2010_285,min_height,3.0,m,3.0
def_tan_2002_287,min_canopy_cover,10.0,,10.0
def_tan_2002_288,min_canopy_cover,10.0,,10.0
def_tan_2008_289,min_area,1.0,ha,1.0
def_tan_2008_289,min_canopy_cover,30.0,,30.0
def_tan_2008_289,min_height,3.0,m,3.0
def_tur_1937_291,min_area,5.0,ha,5.0
def_tur_2010_297,min_canopy_cover,100.0,,100.0
def_tur_2011_298,min_area,0.5,ha,0.5
def_tur_2011_298,min_canopy_cover,10.0,,10.0
def_tur_2011_298,min_height,20.0,m,20.0
def_tur_2011_298,min_width,20.0,m,20.0
def_uni_2009_300,min_area,0.5,ha,0.5
def_uni_2009_300,min_canopy_cover,20.0,,20.0
def_uni_2009_300,min_height,20.0,m,20.0
def_uni_2009_300,min_width,20.0,m,20.0
def_uni_2010_301,min_area,2.0,ha,2.0
def_uni_2010_301,min_canopy_cover,20.0,,20.0
def_uni_2010_301,min_height,50.0,m,50.0
def_usa_unknown_302,min_height,20.0,meter,20.0
def_usa_1905_304,min_canopy_cover,20.0,,20.0
def_usa_2008_306,min_canopy_cover,25.0,,25.0
def_usa_2001_307,min_height,14.0,m,14.0
def_vie_1998_308,min_canopy_cover,30.0,,30.0
def_zim_unknown_309,min_canopy_cover,80.0,,80.0
def_zim_unknown_309,min_height,15.0,metre,15.0
def_aus_unknown_310,min_height,5.0,metre,5.0
def_bos_2001_313,min_area,0.1,hectare,0.1
def_bos_2013_314,min_area,0.16,ha,0.16
def_bos_2013_314,min_canopy_cover,20.0,,20.0
def_bos_2013_314,min_height,20.0,m,20.0
def_bos_2013_314,min_width,20.0,m,20.0
def_cam_1994_316,min_area,0.0,hectare,0.0
def_col_2014_317,min_area,1.0,ha,1.0
def_col_2014_317,min_canopy_cover,30.0,,30.0
def_col_2014_317,min_height,5.0,meter,5.0
def_cro_2010_318,min_height,100.0,m,100.0
def_unk_2002_319,min_area,1.0,ha,1.0
def_unk_2002_319,min_canopy_cover,10.0,,10.0
def_unk_2002_319,min_height,5.0,m,5.0
def_cze_1995_320,min_height,1995.0,m,1995.0
def_cze_1997_321,min_area,0.01,ha,0.01
def_cze_1997_321,min_height,4.0,m,4.0
def_cze_1997_321,min_width,4.0,m,4.0
def_cze_2004_322,min_area,0.01,ha,0.01
def_cze_2004_322,min_height,4.0,m,4.0
def_cze_2004_322,min_width,4.0,m,4.0
def_cze_unknown_323,min_area,0.01,ha,0.01
def_cze_unknown_323,min_height,4.0,m,4.0
def_cze_unknown_323,min_width,4.0,m,4.0
def_den_1998_324,min_area,0.5,ha,0.5
def_den_1998_324,min_height,30.0,m,30.0
def_est_2002_326,min_area,5.0,ha,5.0
def_est_2002_326,min_canopy_cover,30.0,,30.0
def_est_2002_326,min_height,3.0,m,3.0
def_est_2005_327,min_area,0.1,ha,0.1
def_est_2005_327,min_canopy_cover,30.0,,30.0
def_est_2005_327,min_height,1.3,m,1.3
def_est_2010_328,min_area,0.5,ha,0.5
def_est_2010_328,min_canopy_cover,30.0,,30.0
def_est_2010_328,min_height,5.0,m,5.0
def_fin_2000_330,min_area,0.5,ha,0.5
def_fin_2000_330,min_canopy_cover,10.0,,10.0
def_fin_2000_330,min_height,5.0,m,5.0
def_fin_2009_331,min_height,1.0,m,1.0
def_fra_2011_332,min_area,50.0,acre,20.2343
def_fra_2011_332,min_canopy_cover,10.0,,10.0
def_fra_2011_332,min_height,20.0,meter,20.0
def_fra_2011_332,min_width,20.0,meter,20.0
def_ger_2001_334,min_canopy_cover,50.0,,50.0
def_ger_2001_334,min_height,1000.0,m,1000.0
def_ger_2001_334,min_width,10.0,m,10.0
def_ger_2002_335,min_canopy_cover,50.0,,50.0
def_ger_2002_335,min_height,1000.0,m,1000.0
def_ger_2002_335,min_width,10.0,m,10.0
def_gre_2002_336,min_area,0.05,ha,0.05
def_gre_2002_336,min_canopy_cover,10.0,,10.0
def_gre_2002_336,min_height,30.0,m,30.0
def_unk_2014_341,min_area,0.1,hectare,0.1
